ukprn,kiscourseid,title,degree_type,year_abroad_available,industry_year_available,foundation_year_available,ucasprogid,crseurl
10007784,UBACZEAPOL18,Czech and Polish,BA,Yes,No,No,A49-A80,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-polish-ba
10007784,UBACZEAPOR18,Czech and Portuguese,BA,Yes,No,No,A49-B62,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-portuguese-ba
10007784,UBACZEAROM18,Czech and Romanian,BA,Yes,No,No,A49-A81,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-romanian-ba
10007784,UBACZEARUS18,Czech and Russian,BA,Yes,No,No,A49-A82,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-russian-ba
10007784,UBACZEASPA18,Czech and Spanish,BA,Yes,No,No,A49-A52,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-spanish-ba
10007784,UBACZEASRB18,Czech and Serbian/Croatian,BA,Yes,No,No,A49-A83,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-serbian-croatian-ba
10007784,UBACZEASWE18,Czech and Swedish,BA,Yes,No,No,A49-B63,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-swedish-ba
10007784,UBACZEAUKR18,Czech and Ukrainian,BA,Yes,No,No,A49-A85,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-ukrainian-ba
10007784,UBACZEAYID18,Czech and Yiddish,BA,Yes,No,No,A49-G17,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-yiddish-ba
10007784,UBADANADUT18,Danish and Dutch,BA,Yes,No,No,A49-G21,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-dutch-ba
10007784,UBADANAFIN18,Danish and Finnish,BA,Yes,No,No,A49-B64,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-finnish-ba
10007784,UBADANAFRE18,Danish and French,BA,Yes,No,No,A49-A17,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-french-ba
10007784,UBADANAGER18,Danish and German,BA,Yes,No,No,A49-G22,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-german-ba
10007784,UBADANAHEB18,Danish and Hebrew,BA,Yes,No,No,A49-G18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-hebrew-ba
10007784,UBADANAHUN18,Danish and Hungarian,BA,Yes,No,No,A49-B66,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-hungarian-ba
10007784,UBADANAITA18,Danish and Italian,BA,Yes,No,No,A49-G23,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-italian-ba
10007784,UBADANAPOL18,Danish and Polish,BA,Yes,No,No,A49-B67,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-polish-ba
10007784,UBADANAPOR18,Danish and Portuguese,BA,Yes,No,No,A49-G25,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-portuguese-ba
10007784,UBADANAROM18,Danish and Romanian,BA,Yes,No,No,A49-B69,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-romanian-ba
10007784,UBADANARUS18,Danish and Russian,BA,No,No,No,A49-B70,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-russian-ba
10007784,UBADANASPA18,Danish and Spanish,BA,Yes,No,No,A49-A53,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-spanish-ba
10007784,UBADANASRB18,Danish and Serbian/Croatian,BA,Yes,No,No,A49-B71,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-serbian-croatian-ba
10007784,UBADANAUKR18,Danish and Ukrainian,BA,Yes,No,No,A49-B73,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-ukrainian-ba
10007784,UBADANAYID18,Danish and Yiddish,BA,Yes,No,No,A49-G19,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-yiddish-ba
10007784,UBADUTAENG18,Dutch and English,BA,Yes,No,No,A49-G84,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-english-ba
10007784,UBADUTAFIN18,Dutch and Finnish,BA,Yes,No,No,A49-B74,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-finnish-ba
10007784,UBADUTAFRE18,Dutch and French,BA,Yes,No,No,A49-A14,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-french-ba
10007784,UBADUTAGER18,Dutch and German,BA,Yes,No,No,A49-G27,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-german-ba
10007784,UBADUTAHAR18,Dutch and History of Art,BA,Yes,No,No,A49-G85,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-history-art-ba
10007784,UBADUTAHEB18,Dutch and Hebrew,BA,Yes,No,No,A49-G20,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-hebrew-ba
10007784,UBADUTAHUN18,Dutch and Hungarian,BA,Yes,No,No,A49-B75,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-hungarian-ba
10007784,UBADUTAITA18,Dutch and Italian,BA,Yes,No,No,A49-G29,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-italian-ba
10007784,UBADUTALAT18,Dutch and Latin,BA,Yes,No,No,A49-H04,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-latin-ba
10007784,UBADUTAMAN18,Dutch and Management Studies,BA,Yes,No,No,A49-G87,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-management-studies-ba
10007784,UBADUTANOR18,Dutch and Norwegian,BA,Yes,No,No,A49-G30,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-norwegian-ba
10007784,UBADUTAPHI18,Dutch and Philosophy,BA,Yes,No,No,A49-H05,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-philosophy-ba
10007784,UBADUTAPOL18,Dutch and Polish,BA,Yes,No,No,A49-B76,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-polish-ba
10007784,UBADUTAPOR18,Dutch and Portuguese,BA,Yes,No,No,A49-G31,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-portuguese-ba
10007784,UBADUTAROM18,Dutch and Romanian,BA,Yes,No,No,A49-B77,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-romanian-ba
10007784,UBADUTARUS18,Dutch and Russian,BA,Yes,No,No,A49-B78,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-russian-ba
10007784,UBADUTASPA18,Dutch and Spanish,BA,Yes,No,No,A49-A54,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-spanish-ba
10007784,UBADUTASRB18,Dutch and Serbian/Croatian,BA,Yes,No,No,A49-G33,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-serbian-croatian-ba
10007784,UBADUTASWE18,Dutch and Swedish,BA,Yes,No,No,A49-G34,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-swedish-ba
10007784,UBADUTAUKR18,Dutch and Ukrainian,BA,Yes,No,No,A49-B81,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-ukrainian-ba
10007784,UBADUTAYID18,Dutch and Yiddish,BA,Yes,No,No,A49-G24,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-yiddish-ba
10007784,UBAEBSWEEA18,Economics and Business with East European Studies,BA,Yes,No,No,A23-J61,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-and-business-east-european-studies-year-abroad-ba
10007784,UBAEBSWEES18,Economics and Business with East European Studies,BA,No,No,No,A23-J62,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-and-business-east-european-studies-ba
10007784,UBAEDUACUL18,"Education, Society and Culture",BA,No,No,No,A23-J66,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/education-society-and-culture-ba
10007784,UBAESPSDUA18,European Social and Political Studies: Dual Degree,BA,Yes,No,No,A23-J89,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/european-social-and-political-studies-dual-degree-ba
10007784,UBAESPSSTU18,European Social and Political Studies,BA,Yes,No,No,A23-J88,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/european-social-and-political-studies-ba
10007784,UBAFINAFRE18,Finnish and French,BA,Yes,No,No,A49-A12,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-french-ba
10007784,UBAFINAGER18,Finnish and German,BA,Yes,No,No,A49-B82,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-german-ba
10007784,UBAFINAHEB18,Finnish and Hebrew,BA,Yes,No,No,A49-G26,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-hebrew-ba
10007784,UBAFINAHUN18,Finnish and Hungarian,BA,Yes,No,No,A49-A86,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-hungarian-ba
10007784,UBAFINAITA18,Finnish and Italian,BA,Yes,No,No,A49-B85,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-italian-ba
10007784,UBAFINANOR18,Finnish and Norwegian,BA,Yes,No,No,A49-B86,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-norwegian-ba
10007784,UBAFINAPOL18,Finnish and Polish,BA,Yes,No,No,A49-A87,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-polish-ba
10007784,UBAFINAPOR18,Finnish and Portuguese,BA,Yes,No,No,A49-B87,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-portuguese-ba
10007784,UBAFINAROM18,Finnish and Romanian,BA,Yes,No,No,A49-A88,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-romanian-ba
10007784,UBAFINARUS18,Finnish and Russian,BA,Yes,No,No,A49-B26,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-russian-ba
10007784,UBAFINASPA18,Finnish and Spanish,BA,Yes,No,No,A49-A55,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-spanish-ba
10007784,UBAFINASRB18,Finnish and Serbian/Croatian,BA,Yes,No,No,A49-B27,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-serbian-croatian-ba
10007784,UBAFINASWE18,Finnish and Swedish,BA,Yes,No,No,A49-B88,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-swedish-ba
10007784,UBAFINAUKR18,Finnish and Ukrainian,BA,Yes,No,No,A49-B28,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-ukrainian-ba
