title,degree_type,url_slug,url,row_number,URL,kiscourseid,A_level,A_level_subjects,GCSE,IB,IB_subjects,A_level_additional
Bulgarian and Polish,BA,bulgarian-and-polish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-polish-ba,14,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-polish-ba,UBABULAPOL18,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Bulgarian and Portuguese,BA,bulgarian-and-portuguese-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-portuguese-ba,15,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-portuguese-ba,UBABULAPOR18,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Bulgarian and Romanian,BA,bulgarian-and-romanian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-romanian-ba,16,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-romanian-ba,UBABULAROM18,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Bulgarian and Russian,BA,bulgarian-and-russian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-russian-ba,17,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-russian-ba,UBABULARUS18,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Bulgarian and Spanish,BA,bulgarian-and-spanish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-spanish-ba,18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-spanish-ba,UBABULASPA18,AAB,Spanish required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5, to include French grade 6.",NA
Bulgarian and Serbian/Croatian,BA,bulgarian-and-serbian-croatian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-serbian-croatian-ba,19,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-serbian-croatian-ba,UBABULASRB18,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Bulgarian and Swedish,BA,bulgarian-and-swedish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-swedish-ba,20,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-swedish-ba,UBABULASWE18,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Bulgarian and Ukrainian,BA,bulgarian-and-ukrainian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-ukrainian-ba,21,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-ukrainian-ba,UBABULAUKR18,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Bulgarian and Yiddish,BA,bulgarian-and-yiddish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-yiddish-ba,22,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-yiddish-ba,UBABULAYID18,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,A total of 16 in three higher level subjects to include Bulgarian or Yiddish with no higher level score below 5,NA
Classics and the Ancient World with Study Abroad,BA,classics-and-ancient-world-study-abroad-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/classics-and-ancient-world-study-abroad-ba,23,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/classics-and-ancient-world-study-abroad-ba,UBACAWWABR18,AAB,"Language and Literature route: Ancient/Classical Greek or Latin at grade A requiredLiterature, History, Archaeology route: no subject requirementsAncient Middle Eastern Studies route: no subject requirements.",English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects including Greek or Latin at grade 6, with no higher level score below 5.",NA
