ukprn,kiscourseid,title,foundation,sandwich,yearabroad
10007784,UBAARLSPLA18,Archaeology with a Placement Year,0,1,0
10007784,UBADUTWFLM18,Dutch with Film Studies,0,0,2
10007784,UBADUTWMAN18,Dutch with Management Studies,0,0,2
10007784,UBAFREWFLM18,French with Film Studies,0,0,2
10007784,UBAFREWMAN18,French with Management Studies,0,0,2
10007784,UBAGERWFLM18,German with Film Studies,0,0,2
10007784,UBAGERWMAN18,German with Management Studies,0,0,2
10007784,UBAHISWABR18,History with a Year Abroad,0,0,2
10007784,UBAITAWFLM18,Italian with Film Studies,0,0,2
10007784,UBARUSWEEL18,Russian with an East European Language,0,0,2
10007784,UBASCAWFLM18,Scandinavian Studies with Film Studies,0,0,2
10007784,UBASCAWMAN18,Scandinavian Studies with Management Studies,0,0,2
10007784,UBASPAWFLM18,Spanish with Film Studies,0,0,2
10007784,UBASPAWMAN18,Spanish with Management Studies,0,0,2
10007784,UBLLAWSFRL18,Law with French Law,0,0,2
10007784,UBLLAWSGRL18,Law with German Law,0,0,2
10007784,UBLLAWSHSL18,Law with Hispanic Law,0,0,2
10007784,UBSCHEWMAN18,Chemistry with Management Studies,0,0,0
10007784,UBSCHEWMAT18,Chemistry with Mathematics,0,0,0
10007784,UBSMATWECO18,Mathematics with Economics,0,0,0
10007784,UBSMATWLAN18,Mathematics with Modern Languages,0,0,0
10007784,UBSMATWMAN18,Mathematics with Management Studies,0,0,0
10007784,UBSMATWMPH18,Mathematics with Mathematical Physics,0,0,0
10007784,UBSPHYWMPH18,Physics with Medical Physics,0,0,0
10007784,UBSPSYWEDU18,Psychology with Education,0,0,0
10007784,UBSSSCSQME18,Social Sciences with Data Science,0,0,0
10007784,UFBBENSING22,Biochemical Engineering with Integrated Foundation Year,1,0,0
10007784,UFBBMDSING22,Biomedical Engineering with Integrated Foundation Year,1,0,0
10007784,UFBCENSING22,Chemical Engineering with Integrated Foundation Year,1,0,0
10007784,UFBCIVSING22,Civil Engineering with Integrated Foundation Year,1,0,0
10007784,UFBCOMSING18,Computer Science with Integrated Foundation Year,1,0,0
10007784,UFBMECSING22,Mechanical Engineering with Integrated Foundation Year,1,0,0
10007784,UFMBENSING22,Biochemical Engineering with Integrated Foundation Year,1,0,0
10007784,UFMBMDSING22,Biomedical Engineering with Integrated Foundation Year,1,0,0
10007784,UFMCENSING22,Chemical Engineering with Integrated Foundation Year,1,0,0
10007784,UFMCIVSING22,Civil Engineering with Integrated Foundation Year,1,0,0
10007784,UFMCOMSING18,Computer Science with Integrated Foundation Year,1,0,0
10007784,UFMMECSING22,Mechanical Engineering with Integrated Foundation Year,1,0,0
10007784,UFMMECWBFN22,Mechanical Engineering with Business Finance with Integrated Foundation Year,1,0,0
10007784,UMNMECWBFN22,Mechanical Engineering with Business Finance,0,0,0
10007784,UMPPHMSREG01,Pharmacy with Integrated Pre-registration Training,0,0,0
10007784,UMSCHEWMAN18,Chemistry with Management Studies,0,0,0
10007784,UMSCHEWMAT18,Chemistry with Mathematics,0,0,0
10007784,UMSMATWECO18,Mathematics with Economics,0,0,0
10007784,UMSMATWLAN18,Mathematics with Modern Languages,0,0,0
10007784,UMSMATWMAN18,Mathematics with Management Studies,0,0,0
10007784,UMSMATWMPH18,Mathematics with Mathematical Physics,0,0,0
