ukprn,kiscourseid,title,degree_type,year_abroad_available,industry_year_available,foundation_year_available
10007784,UBAFINAHUN18,Finnish and Hungarian,BA,Yes,No,No
10007784,UBAFINAITA18,Finnish and Italian,BA,Yes,No,No
10007784,UBAFINANOR18,Finnish and Norwegian,BA,Yes,No,No
10007784,UBAFINAPOL18,Finnish and Polish,BA,Yes,No,No
10007784,UBAFINAPOR18,Finnish and Portuguese,BA,Yes,No,No
10007784,UBAFINAROM18,Finnish and Romanian,BA,Yes,No,No
10007784,UBAFINARUS18,Finnish and Russian,BA,Yes,No,No
10007784,UBAFINASPA18,Finnish and Spanish,BA,Yes,No,No
10007784,UBAFINASRB18,Finnish and Serbian/Croatian,BA,Yes,No,No
10007784,UBAFINASWE18,Finnish and Swedish,BA,Yes,No,No
10007784,UBAFINAUKR18,Finnish and Ukrainian,BA,Yes,No,No
10007784,UBAFINAYID18,Finnish and Yiddish,BA,Yes,No,No
10007784,UBAFREAAAL18,French and an Asian or African Language,BA,Yes,No,No
10007784,UBAFREAENG18,French and English,BA,Yes,No,No
10007784,UBAFREAGER18,French and German,BA,Yes,No,No
10007784,UBAFREAHAR18,French and History of Art,BA,Yes,No,No
10007784,UBAFREAHEB18,French and Hebrew,BA,Yes,No,No
10007784,UBAFREAHUN18,French and Hungarian,BA,Yes,No,No
10007784,UBAFREAITA18,French and Italian,BA,Yes,No,No
10007784,UBAFREALAT18,French and Latin,BA,Yes,No,No
10007784,UBAFREANOR18,French and Norwegian,BA,Yes,No,No
10007784,UBAFREAPHI18,French and Philosophy,BA,Yes,No,No
10007784,UBAFREAPOL18,French and Polish,BA,Yes,No,No
10007784,UBAFREAPOR18,French and Portuguese,BA,Yes,No,No
10007784,UBAFREAROM18,French and Romanian,BA,Yes,No,No
10007784,UBAFREARUS18,French and Russian,BA,Yes,No,No
10007784,UBAFREASPA18,French and Spanish,BA,Yes,No,No
10007784,UBAFREASRB18,French and Serbian/Croatian,BA,Yes,No,No
10007784,UBAFREASWE18,French and Swedish,BA,Yes,No,No
10007784,UBAFREAUKR18,French and Ukrainian,BA,Yes,No,No
10007784,UBAFREAYID18,French and Yiddish,BA,Yes,No,No
10007784,UBAFSHAEES18,Finnish and East European Studies,BA,Yes,No,No
10007784,UBAGERAENG18,German and English,BA,Yes,No,No
10007784,UBAGERAHAR18,German and History of Art,BA,Yes,No,No
10007784,UBAGERAHEB18,German and Hebrew,BA,Yes,No,No
10007784,UBAGERAHIS18,German and History,BA,Yes,No,No
10007784,UBAGERAHUN18,German and Hungarian,BA,Yes,No,No
10007784,UBAGERAITA18,German and Italian,BA,Yes,No,No
10007784,UBAGERAJEW18,German and Jewish Studies,BA,Yes,No,No
10007784,UBAGERALAT18,German and Latin,BA,Yes,No,No
10007784,UBAGERANOR18,German and Norwegian,BA,No,No,No
10007784,UBAGERAPHI18,German and Philosophy,BA,Yes,No,No
10007784,UBAGERAPOL18,German and Polish,BA,Yes,No,No
10007784,UBAGERAPOR18,German and Portuguese,BA,Yes,No,No
10007784,UBAGERAROM18,German and Romanian,BA,Yes,No,No
10007784,UBAGERARUS18,German and Russian,BA,Yes,No,No
10007784,UBAGERASPA18,German and Spanish,BA,Yes,No,No
10007784,UBAGERASRB18,German and Serbian/Croatian,BA,Yes,No,No
10007784,UBAGERASWE18,German and Swedish,BA,Yes,No,No
10007784,UBAGERAUKR18,German and Ukrainian,BA,Yes,No,No
10007784,UBAGERAYID18,German and Yiddish,BA,Yes,No,No
10007784,UBAGREAENG18,Greek and English,BA,No,No,No
10007784,UBAHEBAHUN18,Hebrew and Hungarian,BA,Yes,No,No
10007784,UBAHEBAITA18,Hebrew and Italian,BA,Yes,No,No
10007784,UBAHEBAJEW18,Hebrew and Jewish Studies,BA,No,No,No
10007784,UBAHEBAJWA18,Hebrew and Jewish Studies,BA,Yes,No,No
10007784,UBAHEBANOR18,Hebrew and Norwegian,BA,Yes,No,No
10007784,UBAHEBAPOL18,Hebrew and Polish,BA,Yes,No,No
10007784,UBAHEBAROM18,Hebrew and Romanian,BA,Yes,Yes,No
10007784,UBAHEBASPA18,Hebrew and Spanish,BA,Yes,No,No
10007784,UBAHEBASRB18,Hebrew and Serbian/Croatian,BA,Yes,No,No
10007784,UBAHEBASWE18,Hebrew and Swedish,BA,Yes,No,No
10007784,UBAHEBAUKR18,Hebrew and Ukrainian,BA,Yes,No,No
10007784,UBAHPASING18,History and Politics of the Americas,BA,No,No,No
10007784,UBAHPAWABR18,History and Politics of the Americas with a Year Abroad,BA,Yes,No,No
10007784,UBAHPESING18,"History, Politics and Economics",BA,No,No,No
10007784,UBAHSEAJEW19,History (Central and East European) and Jewish Studies,BA,Yes,No,No
10007784,UBAHUNAEES18,Hungarian and East European Studies,BA,Yes,No,No
10007784,UBAHUNAITA18,Hungarian and Italian,BA,Yes,No,No
10007784,UBAHUNANOR18,Hungarian and Norwegian,BA,Yes,No,No
10007784,UBAHUNAPOL18,Hungarian and Polish,BA,Yes,No,No
10007784,UBAHUNAPOR18,Hungarian and Portuguese,BA,Yes,No,No
10007784,UBAHUNAROM18,Hungarian and Romanian,BA,Yes,No,No
10007784,UBAHUNARUS18,Hungarian and Russian,BA,Yes,No,No
10007784,UBAHUNASPA18,Hungarian and Spanish,BA,Yes,No,No
10007784,UBAHUNASRB18,Hungarian and Serbian/Croatian,BA,Yes,No,No
10007784,UBAHUNASWE18,Hungarian and Swedish,BA,Yes,No,No
10007784,UBAHUNAUKR18,Hungarian and Ukrainian,BA,Yes,No,No
10007784,UBAHUNAYID18,Hungarian and Yiddish,BA,Yes,No,No
10007784,UBAINTSSPS18,International Social and Political Studies,BA,Yes,No,No
10007784,UBAITAAHAR18,Italian and History of Art,BA,Yes,No,No
10007784,UBAITAAJEW18,Italian and Jewish Studies,BA,Yes,No,No
10007784,UBAITAALAT18,Italian and Latin,BA,Yes,No,No
10007784,UBAITAAMAN18,Italian and Management Studies,BA,Yes,No,No
10007784,UBAITAANOR18,Italian and Norwegian,BA,Yes,No,No
10007784,UBAITAAPHI18,Italian and Philosophy,BA,Yes,No,No
10007784,UBAITAAPOL18,Italian and Polish,BA,Yes,No,No
10007784,UBAITAAPOR18,Italian and Portuguese,BA,Yes,No,No
10007784,UBAITAAROM18,Italian and Romanian,BA,Yes,No,No
10007784,UBAITAARUS18,Italian and Russian,BA,Yes,No,No
10007784,UBAITAASPA18,Italian and Spanish,BA,Yes,No,No
10007784,UBAITAASRB18,Italian and Serbian/Croatian,BA,Yes,No,No
10007784,UBAITAASWE18,Italian and Swedish,BA,Yes,No,No
10007784,UBAITAAUKR18,Italian and Ukrainian,BA,Yes,No,No
10007784,UBAITAAYID18,Italian and Yiddish,BA,Yes,No,No
10007784,UBALATAENG18,Latin and English,BA,No,No,No
10007784,UBALNGSCLT18,Language and Culture,BA,Yes,No,No
10007784,UBANORAPOL18,Norwegian and Polish,BA,Yes,No,No
10007784,UBANORAPOR18,Norwegian and Portuguese,BA,Yes,No,No
10007784,UBANORAROM18,Norwegian and Romanian,BA,Yes,No,No
10007784,UBANORARUS18,Norwegian and Russian,BA,Yes,No,No
10007784,UBANORASPA18,Norwegian and Spanish,BA,Yes,No,No
10007784,UBANORASRB18,Norwegian and Serbian/Croatian,BA,Yes,No,No
10007784,UBANORAUKR18,Norwegian and Ukrainian,BA,Yes,No,No
10007784,UBANORAYID18,Norwegian and Yiddish,BA,Yes,No,No
10007784,UBAPHIACOM18,Philosophy and Computer Science,BA,No,No,No
10007784,UBAPHIAECO18,Philosophy and Economics,BA,No,No,No
10007784,UBAPHIAHAR18,Philosophy and History of Art,BA,No,No,No
10007784,UBAPLSAEEA18,"Politics, Sociology and East European Studies",BA,Yes,No,No
10007784,UBAPLSAEES18,"Politics, Sociology and East European Studies",BA,No,No,No
10007784,UBAPOLAPOR18,Polish and Portuguese,BA,Yes,No,No
10007784,UBAPOLAROM18,Polish and Romanian,BA,Yes,No,No
10007784,UBAPOLARUS18,Polish and Russian,BA,Yes,No,No
10007784,UBAPOLASPA18,Polish and Spanish,BA,Yes,No,No
10007784,UBAPOLASRB18,Polish and Serbian/Croatian,BA,Yes,No,No
10007784,UBAPOLASWE18,Polish and Swedish,BA,Yes,No,No
10007784,UBAPOLAUKR18,Polish and Ukrainian,BA,Yes,No,No
10007784,UBAPOLAYID18,Polish and Yiddish,BA,Yes,No,No
10007784,UBAPSHAEES18,Polish and East European Studies,BA,Yes,No,No
10007784,UBAROMAEES18,Romanian and East European Studies,BA,Yes,No,No
10007784,UBAROMAPOR18,Romanian and Portuguese,BA,Yes,No,No
