ukprn,kiscourseid,title,degree_type,year_abroad_available,industry_year_available,foundation_year_available
10007784,UMSEARSPHY18,Geophysics,Integrated MSCi,No,No,No
10007784,UMSMANSING18,Management Science,Integrated MSCi,No,No,No
10007784,UMSMATSING18,Mathematics,Integrated MSCi,No,No,No
10007784,UMSMPHSING18,Medical Physics,Integrated MSCi,No,No,No
10007784,UMSNATSING18,Natural Sciences,Integrated MSCi,No,No,No
10007784,UMSPHASING18,Pharmacology,Integrated MSCi,No,No,No
10007784,UMSPHYSING18,Physics,Integrated MSCi,No,No,No
10007784,UMSPHYSTPH18,Theoretical Physics,Integrated MSCi,No,No,No
10007784,UMSPSYSING18,Psychology,Integrated MSCi,Yes,No,No
10007784,UMSSTASINT18,Statistical Science (International Programme),Integrated MSCi,Yes,No,No
