title,degree_type,url_slug,url,row_number,URL,A_level,A_level_subjects,GCSE,IB,IB_subjects,A_level_additional
Dutch and Yiddish,BA,dutch-and-yiddish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-yiddish-ba,87,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-yiddish-ba,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, to include Dutch or Yiddish.",NA
Dutch,BA,dutch-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-ba,88,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-ba,ABB,Foreign language preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects preferably including a foreign language, with no score higher level below 5.",NA
Dutch with Film Studies,BA,dutch-film-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-film-studies-ba,89,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-film-studies-ba,ABB,Modern foreign language preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, Modern Foreign Language preferred.",NA
Dutch with Management Studies,BA,dutch-management-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-management-studies-ba,90,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-management-studies-ba,AAB,Modern foreign language preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5, Modern Foreign Language preferred.",NA
Economics and Business with East European Studies,BA,economics-and-business-east-european-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-and-business-east-european-studies-ba,91,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-and-business-east-european-studies-ba,AAA,Mathematics required. Economics and Further Mathematics preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects including grade 6 in Mathematics, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level.",NA
Economics and Business with East European Studies,BA,economics-and-business-east-european-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-and-business-east-european-studies-ba,92,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-and-business-east-european-studies-ba,AAA,Mathematics required. Economics and Further Mathematics preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects including grade 6 in Mathematics, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level.",NA
Early Childhood Education,BA,early-childhood-education-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/early-childhood-education-ba,93,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/early-childhood-education-ba,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
"Education, Society and Culture",BA,education-society-and-culture-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/education-society-and-culture-ba,94,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/education-society-and-culture-ba,ABB,"A Social Science, Classics, English Literature and/or Language (not English Language acquisition) or Business Studies preferred. ",English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
English,BA,english-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/english-ba,95,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/english-ba,AAA,English Literature (or combined Literature and Language) required.,English Language at grade B or 6 and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects including English A1 Literature/Language and Literature at grade 6, with no higher level score below 5.",NA
European Social and Political Studies: Dual Degree,BA,european-social-and-political-studies:-dual-degree-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/european-social-and-political-studies:-dual-degree-ba,96,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/european-social-and-political-studies:-dual-degree-ba,NA,NA,NA,NA,NA,NA
European Social and Political Studies,BA,european-social-and-political-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/european-social-and-political-studies-ba,97,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/european-social-and-political-studies-ba,A*AA,A humanities or social science subject (or Mathematics) preferred. Mathematics at A* required for full Economics specialism if chosen. French or Spanish required at grade A if one of these is to be studied as major language.,English Language at grade B or 6 and Mathematics at grade C or 4.,39,"A total of 19 points in three higher level subjects, with no higher level score below 5. Higher level subjects to include French B, or Spanish B at grade 6 if either of these is to be studied as a major language. A humanities or social science subject (or Mathematics) is preferred. Mathematics at grade 7 at higher level is required for the full Economics specialism, if chosen. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level.
",NA
Finnish and French,BA,finnish-and-french-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-french-ba,98,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-french-ba,AAB,French required at A.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects including French grade 6, with no higher level score below 5.",NA
Finnish and German,BA,finnish-and-german-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-german-ba,99,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-german-ba,AAB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Finnish and Hebrew,BA,finnish-and-hebrew-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-hebrew-ba,100,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-hebrew-ba,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 in three higher level subjects to include Finnish or Hebrew, with no higher level score below 5",NA
Finnish and Hungarian,BA,finnish-and-hungarian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-hungarian-ba,101,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-hungarian-ba,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Finnish and Italian,BA,finnish-and-italian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-italian-ba,102,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-italian-ba,AAB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Finnish and Norwegian,BA,finnish-and-norwegian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-norwegian-ba,103,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-norwegian-ba,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Finnish and Polish,BA,finnish-and-polish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-polish-ba,104,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-polish-ba,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Finnish and Portuguese,BA,finnish-and-portuguese-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-portuguese-ba,105,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-portuguese-ba,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Finnish and Romanian,BA,finnish-and-romanian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-romanian-ba,106,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-romanian-ba,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Finnish and Russian,BA,finnish-and-russian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-russian-ba,107,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-russian-ba,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Finnish and Spanish,BA,finnish-and-spanish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-spanish-ba,108,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-spanish-ba,AAB,Spanish required at A.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5, to include French grade 6.",NA
Finnish and Serbian/Croatian,BA,finnish-and-serbiancroatian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-serbiancroatian-ba,109,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-serbiancroatian-ba,NA,NA,NA,NA,NA,NA
Finnish and Swedish,BA,finnish-and-swedish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-swedish-ba,110,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-swedish-ba,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Finnish and Ukrainian,BA,finnish-and-ukrainian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-ukrainian-ba,111,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-ukrainian-ba,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Finnish and Yiddish,BA,finnish-and-yiddish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-yiddish-ba,112,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-yiddish-ba,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,A total of 16 in three higher level subjects to include Finnish or Yiddish with no higher level score below 5,NA
Fine Art,BA,fine-art-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/fine-art-ba,113,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/fine-art-ba,ABB,"No specific subjects, but a portfolio of work is required. At least two A level subjects should be taken from UCL's list of preferred A level subjects.",English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, plus a portfolio. ",NA
French and an Asian or African Language,BA,french-and-an-asian-or-african-language-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-an-asian-or-african-language-ba,114,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-an-asian-or-african-language-ba,NA,NA,NA,NA,NA,NA
French and English,BA,french-and-english-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-english-ba,115,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-english-ba,AAA,English Literature/English Language and Literature and French grade A required.,English Language at grade B or 6 and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects, with no higher level score below 5, to include English Language and Literature/English Literature and French required at grade 6.",NA
French and German,BA,french-and-german-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-german-ba,116,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-german-ba,ABB,French required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include French grade 6, with no higher level score below 5.",NA
French and History of Art,BA,french-and-history-of-art-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-history-of-art-ba,117,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-history-of-art-ba,NA,NA,NA,NA,NA,NA
French and Hebrew,BA,french-and-hebrew-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-hebrew-ba,118,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-hebrew-ba,ABB,French required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include French grade 6, with no higher level score below 5.",NA
French and Hungarian,BA,french-and-hungarian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-hungarian-ba,119,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-hungarian-ba,AAB,French required at A.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects including French grade 6, with no higher level score below 5.",NA
French and Italian,BA,french-and-italian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-italian-ba,120,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-italian-ba,ABB,French required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include French grade 6, with no higher level score below 5.",NA
French and Latin,BA,french-and-latin-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-latin-ba,121,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-latin-ba,AAB,French and Latin required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects to include French and Latin grade 6, with no higher level score below 5.",NA
French and Norwegian,BA,french-and-norwegian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-norwegian-ba,122,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-norwegian-ba,ABB,French required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include French grade 6, with no higher level score below 5.",NA
French and Philosophy,BA,french-and-philosophy-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-philosophy-ba,123,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-philosophy-ba,AAA,French required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects, with no higher level score below 5, to include French grade 6.",NA
French and Polish,BA,french-and-polish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-polish-ba,124,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-polish-ba,AAB,French required at A.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects including French grade 6, with no higher level score below 5.",NA
French and Portuguese,BA,french-and-portuguese-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-portuguese-ba,125,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-portuguese-ba,ABB,French required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include French grade 6, with no higher level score below 5.",NA
French and Romanian,BA,french-and-romanian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-romanian-ba,126,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-romanian-ba,AAB,French required at A.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects including French grade 6, with no higher level score below 5.",NA
French and Russian,BA,french-and-russian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-russian-ba,127,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-russian-ba,AAB,French required at A.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects including French grade 6, with no higher level score below 5.",NA
French and Spanish,BA,french-and-spanish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-spanish-ba,128,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-spanish-ba,AAB,French and Spanish required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects to include French and Spanish grade 6, with no higher level score below 5.",NA
French and Serbian/Croatian,BA,french-and-serbiancroatian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-serbiancroatian-ba,129,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-serbiancroatian-ba,NA,NA,NA,NA,NA,NA
French and Swedish,BA,french-and-swedish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-swedish-ba,130,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-swedish-ba,ABB,French required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include French grade 6, with no higher level score below 5.",NA
French and Ukrainian,BA,french-and-ukrainian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-ukrainian-ba,131,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-ukrainian-ba,AAB,French required at A.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects including French grade 6, with no higher level score below 5.",NA
French and Yiddish,BA,french-and-yiddish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-yiddish-ba,132,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-yiddish-ba,ABB,French required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include French grade 6, with no higher level score below 5.",NA
French,BA,french-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-ba,133,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-ba,ABB,French required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects including French grade 6, with no higher level score below 5.",NA
French with Film Studies,BA,french-film-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-film-studies-ba,134,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-film-studies-ba,ABB,French required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include French grade 6, with no higher level score below 5.",NA
French with Management Studies,BA,french-management-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-management-studies-ba,135,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-management-studies-ba,AAB,French required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, including 6 in French, with no higher level score below 5",NA
Finnish and East European Studies,BA,finnish-and-east-european-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-east-european-studies-ba,136,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-east-european-studies-ba,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Geography,BA,geography-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/geography-ba,137,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/geography-ba,AAA,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects, with no higher level score below 5.",NA
Geography (International Programme),BA,geography-international-programme-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/geography-international-programme-ba,138,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/geography-international-programme-ba,AAA,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects, with no higher level score below 5.",NA
German and English,BA,german-and-english-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-english-ba,139,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-english-ba,AAA,"English Literature/English Language and Literature grade A required, foreign language preferred.",English Language at grade B or 6 and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects, with no higher level score below 5, to include English Language and Literature/English Literature required at grade 6.",NA
German and History of Art,BA,german-and-history-of-art-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-history-of-art-ba,140,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-history-of-art-ba,NA,NA,NA,NA,NA,NA
German and Hebrew,BA,german-and-hebrew-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-hebrew-ba,141,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-hebrew-ba,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include German or Hebrew, with no higher level score below 5.",NA
German and History,BA,german-and-history-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-history-ba,142,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-history-ba,NA,NA,NA,NA,NA,NA
German and Hungarian,BA,german-and-hungarian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-hungarian-ba,143,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-hungarian-ba,AAB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
German and Italian,BA,german-and-italian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-italian-ba,144,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-italian-ba,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, to include a foreign language.",NA
German and Jewish Studies,BA,german-and-jewish-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-jewish-studies-ba,145,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-jewish-studies-ba,NA,NA,NA,NA,NA,NA
German and Latin,BA,german-and-latin-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-latin-ba,146,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-latin-ba,ABB,"Latin grade A required, modern foreign language preferred.",English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include Latin grade 6, with no higher level score below 5. Modern Foreign Language preferred.",NA
German and Norwegian,BA,german-and-norwegian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-norwegian-ba,147,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-norwegian-ba,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, to include a foreign language.",NA
German and Philosophy,BA,german-and-philosophy-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-philosophy-ba,148,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-philosophy-ba,AAB,Foreign language preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5. Foreign language preferred.",NA
German and Polish,BA,german-and-polish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-polish-ba,149,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-polish-ba,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
German and Portuguese,BA,german-and-portuguese-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-portuguese-ba,150,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-portuguese-ba,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
German and Romanian,BA,german-and-romanian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-romanian-ba,151,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-romanian-ba,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
German and Russian,BA,german-and-russian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-russian-ba,152,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-russian-ba,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
German and Spanish,BA,german-and-spanish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-spanish-ba,153,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-spanish-ba,ABB,A in Spanish required.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects including Spanish at grade 6, with no higher level score below 5.",NA
German and Serbian/Croatian,BA,german-and-serbiancroatian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-serbiancroatian-ba,154,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-serbiancroatian-ba,NA,NA,NA,NA,NA,NA
German and Swedish,BA,german-and-swedish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-swedish-ba,155,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-swedish-ba,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
